"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DIO1",0.411829731391285,0.458888321583262,2.40653738354742,0.017737079281218,0.999798845119145,-3.13871142234645
"EPOP",0.417411495676142,0.721718054139344,2.40533055859817,0.0177928080601915,0.999798845119145,-3.1408794408333
"FTLP3",0.556090310479246,5.0119120780068,2.40395731664978,0.0178564107188004,0.999798845119145,-3.14334525724923
"HAL",0.525352361099954,2.19434815457497,2.40361703820312,0.0178722021263765,0.999798845119145,-3.14395607532675
"GOLM1",0.49821909836641,2.77008676751609,2.40063684501876,0.0180110355479725,0.999798845119145,-3.14930242878233
"AFF3",-0.452622663261529,1.82642306208103,-2.4003185564715,0.0180259195726926,0.999798845119145,-3.14987308113493
"ALDOA",0.32470474433652,3.24492670747317,2.39969221634326,0.0180552407975245,0.999798845119145,-3.15099583762369
"ATXN7L3-AS1",-0.500220902378293,0.77690641022284,-2.39577041687426,0.0182397984830204,0.999798845119145,-3.15802005707879
"RNF141",0.386420355303205,3.28012735753826,2.38786305802506,0.0186170112678295,0.999798845119145,-3.17215190295479
"BPIFC",0.519199084878413,0.633623170269197,2.38585673614635,0.0187138143332601,0.999798845119145,-3.17573100191548
"STRBP",-0.412352153009135,3.03231663489652,-2.38445394179438,0.0187817625963133,0.999798845119145,-3.17823188533986
"DPY19L1P1",-0.383994662736462,3.76459716922072,-2.38207065221854,0.0188977053809498,0.999798845119145,-3.18247780762082
"KIAA1522",0.498109869250865,1.72529401526677,2.38026060488671,0.0189861843013662,0.999798845119145,-3.18569997336086
"LINC02273",-0.523882794371123,1.53631737518622,-2.3791557172631,0.0190403737748289,0.999798845119145,-3.18766578262081
"CECR3",0.421362509935048,0.431185658624544,2.37022306861234,0.0194835333956245,0.999798845119145,-3.20352909743546
"RLN1",-0.411050592853424,0.419849067839925,-2.36638282634803,0.0196768427749709,0.999798845119145,-3.21033270388212
"S100B",0.850302907003056,3.81242949664204,2.36605516459332,0.0196934148802738,0.999798845119145,-3.2109127578902
"ICAM1",0.551913116344989,2.50961091618145,2.36469303829264,0.019762439442871,0.999798845119145,-3.21332334570438
"LINC01637",0.774398007309232,1.6783393623936,2.35983517807413,0.0200103536146484,0.999798845119145,-3.22191042331955
"ST3GAL6",-0.320814596864152,1.97440199631021,-2.3572770542007,0.0201420064370422,0.999798845119145,-3.22642605545958
"KLRF1",0.675192524452382,3.35890146796281,2.35701349565666,0.0201556138003102,0.999798845119145,-3.22689104607858
"LEF1",-0.575500355680285,3.64353392512556,-2.34916706269061,0.0205644612204589,0.999798845119145,-3.24071325858067
